iter	RMSE
0	3245.894086
1	3085.471568
2	2933.869151
3	2788.777165
4	2652.381279
5	2526.246693
6	2403.202894
7	2290.201952
8	2179.921445
9	2079.467237
10	1981.458274
11	1887.89373
12	1802.081287
13	1718.984285
14	1641.274864
15	1564.60415
16	1494.771539
17	1430.46435
18	1371.099467
19	1314.134181
20	1258.159693
21	1208.05518
22	1156.240413
23	1109.24751
24	1067.025358
25	1023.489045
26	982.1426678
27	946.7737802
28	911.051738
29	879.4468191
30	848.7920591
31	820.674897
32	790.3613769
33	762.221156
34	737.1296581
35	712.710346
36	691.3113083
37	670.8107928
38	651.7159974
39	634.4969263
40	617.3517869
41	601.7688018
42	586.5254463
43	571.4805363
44	559.4270863
45	546.5015225
46	534.1857199
47	523.3723598
48	512.5683201
49	502.773703
50	494.2449334
51	485.0323052
52	477.3834035
53	470.4478247
54	468.4677914
55	466.6615694
56	464.8584918
57	463.1263627
58	456.2946074
59	454.5119694
60	448.9237393
61	447.3588785
62	441.126736
63	439.6043623
64	434.177297
65	432.5743907
66	431.1383967
67	429.753715
68	428.3771159
69	423.7425744
70	422.4540874
71	421.1703232
72	419.9502929
73	418.7315892
74	413.7808932
75	412.5518064
76	407.4155069
77	402.6751475
78	401.5756356
79	397.055274
80	395.9591302
81	394.8967682
82	393.8066225
83	392.8078412
84	388.7864203
85	387.7465138
86	386.8504052
87	385.9760485
88	385.0996323
89	381.3822177
90	380.5514078
91	377.4014653
92	376.5260272
93	374.3479728
94	373.5449872
95	372.8215739
96	372.1014266
97	371.4165859
98	370.6337921
99	369.9650434
100	366.2299175
101	363.2831859
102	362.6497372
103	360.003941
104	359.3582199
105	358.7933639
106	357.977576
107	357.4332126
108	355.1143097
109	354.5890419
110	352.2973044
111	351.3716573
112	350.8847566
113	350.4171171
114	349.953575
115	349.4537122
116	348.0440381
117	347.5683672
118	345.4036666
119	343.62038
120	343.2094014
121	342.7588632
122	340.5100747
123	338.0792216
124	337.7203335
125	335.8042697
126	335.454685
127	334.1551591
128	333.8174951
129	333.4648881
130	333.1277557
131	332.7961374
132	332.5076838
133	330.5591668
134	328.9183044
135	328.6294835
136	327.3774578
137	326.0615865
138	324.4484262
139	323.1383377
140	322.423064
141	321.9348447
142	320.719046
143	319.3867008
144	318.0099469
145	317.7743388
146	317.5375964
147	317.3400807
148	317.1011703
149	315.7388847
150	314.5292682
151	314.3339825
152	313.9916764
153	313.5968767
154	313.3108222
155	313.1204107
156	312.8280658
157	311.6001633
158	311.3761751
159	310.4628601
160	309.1233882
161	308.9634609
162	308.8057483
